runtime_seconds,348.20346300001256
runtime_display,5 min 48.2 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
100.0,0.0,False,,,,
125.0,0.0,False,,,,
150.0,0.0,False,,,,
175.0,0.0,False,,,,
200.0,0.0,False,,,,
225.0,0.0,False,,,,
250.0,0.0,False,,,,
275.0,0.0,False,,,,
300.0,0.0,False,,,,
325.0,0.0,False,,,,
350.0,0.0,False,,,,
375.0,0.0,False,,,,
400.0,0.0,False,,,,
425.0,0.0,False,,,,
450.0,0.0,False,,,,
475.0,0.0,False,,,,
500.0,0.0,False,,,,
525.0,0.0,False,,,,
550.0,0.0,False,,,,
575.0,0.0,False,,,,
600.0,0.0,False,,,,
625.0,0.0,False,,,,
650.0,0.0,False,,,,
675.0,0.0,False,,,,
700.0,0.0,False,,,,
725.0,0.0,False,,,,
750.0,0.0,False,,,,
775.0,0.0,False,,,,
800.0,0.0,False,,,,
100.0,0.1,True,0.878,-4.807961000009742,0.572621064,2.4459785813395707e+18
125.0,0.1,True,0.922,-9.495363339114958,0.5302348240000001,2.8311896882252303e+18
150.0,0.1,True,0.926,-12.951956972878577,0.542310048,4.0258872472669624e+18
175.0,0.1,True,0.95,-15.183567216079894,0.5007982,5.245369492410153e+18
200.0,0.1,True,0.962,-16.594820585024657,0.31769087999999995,4.6015286361394135e+18
225.0,0.1,True,0.892,-17.885130333047865,0.019823808000000002,4.937678631038189e+17
250.0,0.1,True,,,,
275.0,0.1,True,,,,
300.0,0.1,True,,,,
325.0,0.1,True,,,,
350.0,0.1,True,,,,
375.0,0.1,True,,,,
400.0,0.1,True,,,,
425.0,0.1,True,,,,
450.0,0.1,True,,,,
475.0,0.1,True,,,,
500.0,0.1,True,,,,
525.0,0.1,True,,,,
550.0,0.1,True,,,,
575.0,0.1,True,,,,
600.0,0.1,True,,,,
625.0,0.1,True,,,,
650.0,0.1,True,,,,
675.0,0.1,True,,,,
700.0,0.1,True,,,,
725.0,0.1,True,,,,
750.0,0.1,True,,,,
775.0,0.1,True,,,,
800.0,0.1,True,,,,
100.0,0.2,True,0.972,11.545817856851237,0.825021936,3.3312500458300877e+18
125.0,0.2,True,0.948,4.815030240924678,0.6915697919999999,2.876610549900007e+18
150.0,0.2,True,0.934,-0.17750267242675477,0.6428946160000001,2.861962945897002e+18
175.0,0.2,True,0.944,-2.109759865466618,0.6283264,2.600205236833918e+18
200.0,0.2,True,0.92,-4.771814746494529,0.653752,2.831999531923813e+18
225.0,0.2,True,0.906,-7.32458486823964,0.605179008,2.9056728203729623e+18
250.0,0.2,True,0.92,-9.24335079896844,0.6164883200000001,3.246764184673295e+18
275.0,0.2,True,0.904,-10.25875865630176,0.5676216,3.019606645157336e+18
300.0,0.2,True,0.942,-12.02654808787981,0.618916608,3.9187028098190474e+18
325.0,0.2,True,0.918,-13.306295548171978,0.54595296,4.0024965377032325e+18
350.0,0.2,True,0.906,-14.387571927569262,0.51286848,4.4005466531742085e+18
375.0,0.2,True,0.93,-15.546571727882977,0.41262239999999994,4.5353500656795054e+18
400.0,0.2,True,0.936,-16.48567641603342,0.34897824,4.987692076850149e+18
425.0,0.2,True,0.986,-17.197837902203652,0.182118144,3.351820564920146e+18
450.0,0.2,True,0.948,-17.66855203572618,0.08991590399999999,2.0096324945764475e+18
475.0,0.2,True,0.996,-18.20798534914462,0.00980064,3.009647826964382e+17
500.0,0.2,True,,,,
525.0,0.2,True,,,,
550.0,0.2,True,,,,
575.0,0.2,True,,,,
600.0,0.2,True,,,,
625.0,0.2,True,,,,
650.0,0.2,True,,,,
675.0,0.2,True,,,,
700.0,0.2,True,,,,
725.0,0.2,True,,,,
750.0,0.2,True,,,,
775.0,0.2,True,,,,
800.0,0.2,True,,,,
100.0,0.30000000000000004,True,0.996,20.964262387020966,0.938447136,4.70428274442595e+18
125.0,0.30000000000000004,True,0.988,15.549126502245045,0.8721076,3.886698261534528e+18
150.0,0.30000000000000004,True,0.982,12.025938518516568,0.821497992,3.2715409916322176e+18
175.0,0.30000000000000004,True,0.948,6.403521592093423,0.71105688,3.0150535140945055e+18
200.0,0.30000000000000004,True,0.954,2.6680191138323046,0.697347288,3.055751428736827e+18
225.0,0.30000000000000004,True,0.932,0.3090416793492352,0.6844608000000001,2.9768535286104627e+18
250.0,0.30000000000000004,True,0.924,-1.4349443220892972,0.665997024,2.8418830062155305e+18
275.0,0.30000000000000004,True,0.94,-3.0860578804085073,0.66109824,2.8238949927037763e+18
300.0,0.30000000000000004,True,0.922,-4.9025308983153835,0.6516253439999999,2.9090982710245734e+18
325.0,0.30000000000000004,True,0.902,-6.669088704784455,0.5916254080000001,2.8351072140329723e+18
350.0,0.30000000000000004,True,0.916,-7.9866675966279175,0.606402992,3.052318058500542e+18
375.0,0.30000000000000004,True,0.936,-9.341485772537887,0.664125696,3.6219451981482793e+18
400.0,0.30000000000000004,True,0.93,-9.945991107116555,0.6423175200000001,3.4853120302093297e+18
425.0,0.30000000000000004,True,0.934,-10.404908023860035,0.6221560800000001,3.319937839150194e+18
450.0,0.30000000000000004,True,0.904,-12.140239550122457,0.589321216,3.9092524760100224e+18
