runtime_seconds,419.3644915999612
runtime_display,6 min 59.4 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
800.0,0.30000000000000004,True,,,,
100.0,0.4,True,0.93,38.405766496994076,0.79289568,3.594445283652651e+18
125.0,0.4,True,0.9,30.658415493983618,0.7278768,2.9359099799225293e+18
150.0,0.4,True,0.862,22.83103859554653,0.6690499200000001,2.6523289039258153e+18
175.0,0.4,True,0.81,16.30229783298698,0.6179004,2.5021242534650276e+18
200.0,0.4,True,0.812,14.04367884599047,0.591084032,2.1666654955298002e+18
225.0,0.4,True,0.774,8.5576573888248,0.5375522880000001,2.1586785856995666e+18
250.0,0.4,True,0.706,7.002848149829202,0.4936352,1.8487498633718536e+18
275.0,0.4,True,0.674,4.144998562720023,0.463798272,1.78832421741985e+18
300.0,0.4,True,0.71,2.064776084807047,0.44824288,1.7437686564897467e+18
325.0,0.4,True,0.634,1.158614664953177,0.43899428,1.6197520950829647e+18
350.0,0.4,True,0.672,-0.39841642602720384,0.44621337600000005,1.6591194075581834e+18
375.0,0.4,True,0.622,-3.8913867212267306,0.426204352,1.9260845449765245e+18
400.0,0.4,True,0.648,-4.785968019570809,0.466933248,2.0955460620057917e+18
425.0,0.4,True,0.646,-6.329333640459684,0.42542976000000005,2.0552079024851617e+18
450.0,0.4,True,0.608,-6.744618344465579,0.438071296,2.0427732200224087e+18
475.0,0.4,True,0.618,-7.867306776518921,0.402397104,1.9839813804049137e+18
500.0,0.4,True,0.632,-8.412012686192634,0.408229024,2.004759438363008e+18
525.0,0.4,True,0.602,-9.379352637411905,0.37926,1.980858515171385e+18
550.0,0.4,True,0.582,-9.903377640484722,0.398688624,2.1035558471016845e+18
575.0,0.4,True,0.596,-10.138661892883475,0.37855059199999996,1.9434955149066785e+18
600.0,0.4,True,0.594,-10.505110254643217,0.37134028799999996,1.9006514972714522e+18
625.0,0.4,True,0.602,-11.557512037934528,0.36176347200000003,2.0854923618054787e+18
650.0,0.4,True,0.552,-12.747650820407358,0.3398112000000001,2.328986916992864e+18
675.0,0.4,True,0.596,-13.251551068120332,0.332968512,2.4118895519463695e+18
700.0,0.4,True,0.556,-13.817519316351337,0.324739584,2.550051243435338e+18
725.0,0.4,True,0.562,-14.46094769817157,0.2805863680000001,2.4745201162640353e+18
750.0,0.4,True,0.594,-14.771395439567861,0.32332607999999996,2.9663699056310195e+18
775.0,0.4,True,0.534,-15.378916621153406,0.25426944000000007,2.6831346546693396e+18
800.0,0.4,True,0.576,-15.348594960332436,0.24850713599999996,2.4854015262003466e+18
100.0,0.5,True,0.944,47.93199714597657,0.8175039999999999,4.128979711149114e+18
125.0,0.5,True,0.928,41.06663075653121,0.772096,3.2884606078673623e+18
150.0,0.5,True,0.906,32.21803057215909,0.7269671520000001,2.991960380473606e+18
175.0,0.5,True,0.872,24.343499516405345,0.7260760319999999,3.0436432300539305e+18
200.0,0.5,True,0.858,18.332047826420016,0.690614496,2.961113435621356e+18
225.0,0.5,True,0.812,17.303940885836568,0.636926304,2.3942708062588273e+18
250.0,0.5,True,0.808,12.875823989629858,0.594481152,2.316191880836269e+18
275.0,0.5,True,0.78,9.451251943690192,0.5702736,2.281132712223152e+18
300.0,0.5,True,0.728,5.402499599876165,0.52418912,2.3070823483068385e+18
325.0,0.5,True,0.704,5.5247118830427056,0.490524672,1.908996515236219e+18
350.0,0.5,True,0.7,4.052943310498037,0.479136,1.8316533196031306e+18
375.0,0.5,True,0.662,2.580352009432268,0.43539475200000005,1.6569020957471892e+18
400.0,0.5,True,0.666,1.3456919699488346,0.45714240000000006,1.7252819001931052e+18
425.0,0.5,True,0.654,0.49003556292065653,0.44769177600000004,1.6471854165682668e+18
450.0,0.5,True,0.678,-2.9767261675284367,0.4676328720000001,2.0939636438790275e+18
475.0,0.5,True,0.65,-2.949909355340516,0.43570800000000004,1.8021423207996076e+18
500.0,0.5,True,0.64,-4.151135511853701,0.42898176,1.8406746144567562e+18
525.0,0.5,True,0.644,-4.943659105181169,0.42104462400000003,1.820777538088058e+18
550.0,0.5,True,0.634,-5.354507503132844,0.44414489599999996,1.874640934671763e+18
